YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Claim
2014,1.0,0,N,V,V,U,1500.0,type4,1980,no data,1
2013,1.0,0,V,N,O,R,1850.0,type4,1950,less than 5,0
2015,1.0,1,N,V,V,U,950.0,type4,1960,no data,1
2012,1.0,1,N,V,V,U,340.0,type4,1960,no data,0
2015,1.0,1,N,V,V,U,340.0,type4,1960,no data,0
2015,0.997260274,0,V,N,O,R,997.0,type4,1960,less than 5,0
2013,1.0,1,V,N,O,R,3336.0,type4,1970,greater than 5,0
2013,1.0,0,V,N,O,R,3270.0,type4,1980,greater than 5,1
2015,1.0,0,V,N,O,R,3270.0,type4,1980,greater than 5,0
2013,0.665753425,0,N,V,V,U,300.0,type4,1960,no data,0
2012,1.0,1,N,V,V,U,2235.0,type4,1960,no data,0
2012,1.0,0,N,V,V,U,1400.0,type4,1980,no data,0
2015,1.0,1,V,N,O,R,5586.0,type4,1978,greater than 5,0
2016,1.0,1,V,N,O,R,5586.0,type4,1978,greater than 5,0
2014,1.0,0,V,N,O,R,800.0,type4,1967,less than 5,1
2013,0.893150685,0,N,V,V,U,300.0,type4,1960,no data,0
2013,1.0,0,N,V,V,U,4310.0,type4,1960,no data,1
2012,1.0,0,N,V,V,U,2160.0,type4,1980,no data,1
2015,1.0,0,V,N,O,R,650.0,type4,1960,less than 5,1
2012,1.0,0,V,N,O,R,210.0,type4,1927,less than 5,0
2012,1.0,0,V,N,O,R,7063.0,type4,1952,greater than 5,1
2013,1.0,0,V,N,O,R,1696.0,type4,2007,greater than 5,0
2015,1.0,0,V,N,O,R,740.0,type4,1940,less than 5,0
2016,0.024590164,1,V,N,O,R,3300.0,type4,1957,less than 5,0
2013,1.0,0,V,N,O,R,350.0,type4,1960,less than 5,0
2012,1.0,1,V,V,V,U,400.0,type4,1980,no data,0
2014,0.0,0,V,V,V,U,1000.0,type4,1960,no data,1
2015,0.893150685,0,V,V,V,U,162.0,type4,1960,no data,0
2014,1.0,0,N,V,V,U,320.0,type4,1960,no data,0
2016,0.99726776,0,N,V,V,U,320.0,type4,1960,no data,0
2015,0.580821918,1,V,V,V,U,18000.0,type4,1980,no data,1
2012,1.0,0,V,V,V,U,1225.0,type4,1960,no data,1
2015,1.0,0,N,V,V,U,400.0,type4,1960,no data,0
2013,0.832876712,0,N,V,V,U,270.0,type4,1980,no data,0
2012,1.0,0,V,N,O,R,740.0,type4,1970,less than 5,0
2012,1.0,0,V,N,O,R,1150.0,type4,1978,less than 5,0
2015,1.0,0,V,N,O,R,4200.0,type4,1988,less than 5,1
2015,0.260273973,0,V,N,O,R,100.0,type4,1800,less than 5,0
2013,0.747945205,1,N,V,V,U,900.0,type4,1988,no data,0
2012,1.0,1,N,V,V,U,9920.0,type4,1980,no data,1
2015,1.0,0,V,V,V,U,2625.0,type4,1980,no data,0
2013,1.0,0,V,N,O,R,5350.0,type4,2007,greater than 5,0
2014,0.915068493,1,V,V,V,U,270.0,type4,1960,no data,0
2012,1.0,0,N,V,V,U,3406.0,type4,1988,no data,0
2012,1.0,0,V,N,O,R,3700.0,type4,1985,greater than 5,1
2015,1.0,0,V,N,O,R,3700.0,type4,1985,greater than 5,1
2012,0.418032787,0,V,N,O,R,3369.0,type4,2009,less than 5,0
2013,1.0,0,V,N,O,R,3369.0,type4,2009,less than 5,1
2014,1.0,0,V,N,O,R,3369.0,type4,2009,less than 5,1
2013,0.104109589,0,V,V,V,U,4846.0,type4,1980,no data,0
2014,1.0,0,V,V,V,U,7887.0,type4,1980,no data,1
2013,1.0,0,V,V,V,U,1300.0,type4,1980,no data,1
2014,0.769863014,0,V,V,V,U,1300.0,type4,1980,no data,0
2013,1.0,1,V,N,O,R,4000.0,type4,1980,less than 5,1
2014,1.0,1,V,N,O,R,4000.0,type4,1980,less than 5,0
2013,1.0,0,V,N,O,R,171.0,type4,1930,less than 5,1
2015,1.0,0,V,N,O,R,171.0,type4,1930,less than 5,0
2013,1.0,0,V,N,O,R,570.0,type4,1960,less than 5,0
2014,1.0,0,N,V,V,U,65.0,type4,1960,no data,0
2016,0.99726776,0,V,N,O,R,367.0,type4,1985,less than 5,0
2013,1.0,1,N,V,V,U,200.0,type4,1960,no data,1
2012,1.0,1,N,V,V,U,400.0,type4,1960,no data,1
2013,1.0,0,N,V,V,U,400.0,type4,1980,no data,0
2016,1.0,0,N,V,V,U,400.0,type4,1980,no data,0
2012,1.0,0,V,N,O,R,400.0,type4,1940,less than 5,0
2016,1.0,0,V,N,O,R,400.0,type4,1940,less than 5,0
2012,1.0,0,V,N,O,R,400.0,type4,1920,less than 5,0
2014,1.0,0,V,N,O,R,6300.0,type4,1977,greater than 5,1
2012,1.0,0,V,N,O,R,250.0,type4,1890,greater than 5,0
2014,1.0,0,V,N,O,R,750.0,type4,1900,less than 5,0
2013,0.024657534,0,V,V,V,U,400.0,type4,1960,no data,0
2015,1.0,0,V,N,O,R,660.0,type4,1949,greater than 5,1
2013,1.0,0,V,N,O,R,1100.0,type4,1978,less than 5,0
2013,1.0,0,V,N,O,R,530.0,type4,1949,greater than 5,0
2012,1.0,0,V,N,O,R,3269.0,type4,1975,less than 5,0
2014,1.0,0,V,N,O,R,3269.0,type4,1975,less than 5,1
2015,1.0,0,V,N,O,R,3269.0,type4,1975,less than 5,0
2013,0.0,0,N,V,V,U,300.0,type4,1960,no data,0
2013,1.0,0,V,N,O,R,640.0,type4,1951,less than 5,0
2015,1.0,0,N,V,V,U,530.0,type4,1980,no data,0
2013,1.0,0,V,N,O,R,450.0,type4,1960,less than 5,0
2013,1.0,0,V,N,O,R,3800.0,type4,1960,greater than 5,0
2014,0.476712329,1,V,N,O,R,1140.0,type4,1988,less than 5,1
2013,1.0,0,V,N,O,R,400.0,type4,1960,greater than 5,0
2012,1.0,0,N,V,V,U,130.0,type4,1960,no data,0
2012,1.0,0,N,V,V,U,243.0,type4,1960,no data,0
2013,0.865753425,0,N,V,V,U,243.0,type4,1960,no data,0
2012,1.0,1,V,V,V,U,2106.0,type4,1980,no data,1
2013,1.0,1,N,V,V,U,1842.0,type4,1988,no data,0
2012,0.554644809,1,V,V,V,U,2713.0,type4,1980,no data,0
2015,1.0,0,V,N,O,R,500.0,type4,1950,greater than 5,0
2012,1.0,0,N,V,V,U,614.0,type4,1980,no data,0
2014,1.0,0,V,N,O,R,1370.0,type4,2008,greater than 5,0
2015,1.0,0,V,N,O,R,1370.0,type4,2008,greater than 5,0
2015,1.0,0,N,V,V,U,430.0,type4,1960,no data,0
2014,1.0,0,N,V,V,U,1563.0,type4,1980,no data,0
2013,1.0,0,N,V,V,U,250.0,type4,1960,no data,0
2013,0.832876712,0,N,V,V,U,1350.0,type4,1980,no data,0
2014,1.0,0,N,V,V,U,480.0,type4,1960,no data,0
2015,1.0,0,N,V,V,U,480.0,type4,1960,no data,0
2014,1.0,0,N,V,V,U,1600.0,type4,1960,no data,0
2014,1.0,0,N,V,V,U,5800.0,type4,1988,no data,1
2016,0.99726776,0,V,N,O,R,1000.0,type4,1972,greater than 5,0
2015,0.084931507,0,V,N,O,R,2000.0,type4,1972,greater than 5,0
2016,0.99726776,0,V,N,O,R,2880.0,type4,1970,greater than 5,1
2015,1.0,0,V,N,O,R,3343.0,type4,1970,greater than 5,0
2014,1.0,0,V,N,O,R,10573.0,type4,1972,greater than 5,0
2013,1.0,1,V,V,V,U,1853.0,type4,1988,no data,0
2016,0.163934426,1,V,N,O,R,5939.0,type4,1987,greater than 5,0
2016,1.0,0,V,N,O,R,518.0,type4,2010,less than 5,1
2015,1.0,0,V,N,O,R,3120.0,type4,2000,less than 5,0
2016,1.0,0,V,N,O,R,3120.0,type4,2000,less than 5,1
2014,1.0,0,V,N,O,R,450.0,type4,1920,greater than 5,0
2014,1.0,0,V,N,O,R,12900.0,type4,1970,greater than 5,0
2016,1.0,0,V,N,O,R,12900.0,type4,1970,greater than 5,1
2015,1.0,0,V,N,O,R,450.0,type4,1960,less than 5,0
2012,1.0,0,V,N,O,R,1300.0,type4,1960,greater than 5,1
2012,1.0,0,V,N,O,R,254.0,type4,1900,less than 5,1
2013,1.0,0,V,N,O,R,1050.0,type4,1960,less than 5,0
2013,1.0,0,V,N,O,R,4500.0,type4,2011,greater than 5,0
2014,1.0,0,V,N,O,R,700.0,type4,1960,less than 5,1
2012,0.448087432,1,V,N,O,R,2712.0,type4,1970,greater than 5,0
2015,1.0,1,V,N,O,R,2712.0,type4,1970,greater than 5,0
2013,1.0,0,V,N,O,R,300.0,type4,1920,less than 5,0
2012,0.50273224,1,V,N,O,R,1120.0,type4,2007,less than 5,0
2014,1.0,0,V,N,O,R,5598.0,type4,1980,greater than 5,1
2016,0.99726776,0,V,N,O,R,4500.0,type4,1980,greater than 5,1
2016,0.75136612,1,V,N,O,R,2659.0,type4,1962,greater than 5,0
2016,0.50273224,1,V,N,O,R,450.0,type4,1900,less than 5,0
2016,0.081967213,1,V,N,O,R,300.0,type4,1900,less than 5,0
2012,1.0,0,V,N,O,R,500.0,type4,1930,less than 5,0
2016,0.99726776,0,V,V,V,U,1619.0,type4,1980,no data,0
2012,1.0,0,V,V,V,U,826.0,type4,1980,no data,1
2016,0.99726776,0,V,V,V,U,826.0,type4,1980,no data,0
2014,1.0,0,V,V,V,U,1365.0,type4,1960,no data,0
2012,1.0,0,V,N,O,R,184.0,type4,1960,less than 5,0
2014,1.0,0,V,N,O,R,970.0,type4,1950,less than 5,0
2015,1.0,0,V,V,V,U,686.0,type4,1960,no data,0
2014,1.0,0,V,N,O,R,900.0,type4,1956,greater than 5,0
2013,1.0,0,V,N,O,R,3508.0,type4,1975,greater than 5,1
2012,1.0,0,V,V,V,U,2900.0,type4,1960,no data,1
2013,1.0,0,V,V,V,U,2900.0,type4,1960,no data,1
2016,0.99726776,0,V,V,V,U,6984.0,type4,1980,no data,0
2013,1.0,0,V,N,O,R,2034.0,type4,1970,greater than 5,0
2014,1.0,0,N,V,V,U,7223.0,type4,1980,no data,0
2015,1.0,0,V,V,V,U,9400.0,type4,1960,no data,1
2014,1.0,0,V,V,V,U,4286.0,type4,1960,no data,1
2012,1.0,0,V,V,V,U,1700.0,type4,1960,no data,0
2015,1.0,0,V,V,V,U,1500.0,type4,1980,no data,1
2014,1.0,0,V,N,O,R,8400.0,type4,1980,greater than 5,1
2013,1.0,0,N,V,V,U,300.0,type4,1980,no data,0
2012,1.0,0,V,V,V,U,4176.0,type4,1988,no data,0
2013,1.0,0,V,V,V,U,4176.0,type4,1988,no data,0
2013,1.0,0,V,N,O,R,3400.0,type4,1960,greater than 5,1
2013,0.997260274,0,V,N,O,R,500.0,type4,1960,less than 5,1
2016,1.0,0,V,N,O,R,500.0,type4,1960,less than 5,0
2013,1.0,0,V,N,O,R,3501.0,type4,1980,greater than 5,0
2013,1.0,1,V,V,V,U,1325.0,type4,1980,no data,0
2014,1.0,1,V,V,V,U,1325.0,type4,1980,no data,1
2015,1.0,0,V,N,O,R,9500.0,type4,1993,greater than 5,1
2013,1.0,0,V,V,V,U,20.0,type4,1988,no data,0
2015,1.0,0,V,V,V,U,20.0,type4,1988,no data,0
2016,1.0,0,V,N,O,R,441.0,type4,1960,less than 5,0
2012,1.0,0,V,N,O,R,1137.0,type4,1960,greater than 5,1
2015,1.0,1,N,V,V,U,250.0,type4,1960,no data,0
2014,1.0,1,N,V,V,U,418.0,type4,1960,no data,0
2016,1.0,0,N,V,V,U,860.0,type4,1980,no data,0
2015,0.468493151,0,N,V,V,U,500.0,type4,1960,no data,0
2014,0.797260274,0,V,V,V,U,3873.0,type4,1988,no data,0
2012,1.0,0,V,N,O,R,3708.0,type4,1970,greater than 5,0
2013,1.0,0,V,N,O,R,700.0,type4,1975,greater than 5,1
2013,1.0,0,V,V,V,U,7300.0,type4,1980,no data,1
2015,1.0,1,N,V,V,U,1080.0,type4,1960,no data,0
2015,1.0,0,V,N,O,R,1446.0,type4,1950,less than 5,1
2014,1.0,1,N,V,V,U,357.0,type4,1960,no data,0
2016,1.0,0,V,N,O,R,2230.0,type4,1960,greater than 5,0
2016,1.0,0,V,N,O,R,1500.0,type4,1900,greater than 5,0
2013,1.0,0,V,V,V,U,4700.0,type4,1980,no data,1
2014,1.0,0,V,N,O,R,3757.0,type4,1960,less than 5,1
2014,1.0,0,V,V,V,U,3043.0,type4,1980,no data,0
2016,0.99726776,0,N,V,V,U,317.0,type4,1980,no data,0
2012,1.0,1,N,V,V,U,1702.0,type4,1960,no data,0
2012,1.0,0,V,V,V,U,860.0,type4,1980,no data,1
2012,1.0,0,N,V,V,U,400.0,type4,1980,no data,0
2013,0.315068493,0,V,N,O,R,3450.0,type4,2003,greater than 5,0
2013,1.0,0,V,V,V,U,3510.0,type4,1980,no data,1
2012,1.0,0,V,V,V,U,1565.0,type4,1960,no data,0
2012,1.0,0,V,N,O,R,4300.0,type4,1940,greater than 5,1
2016,0.99726776,0,V,N,O,R,4300.0,type4,1940,greater than 5,0
2014,1.0,0,V,N,O,R,6650.0,type4,1912,greater than 5,1
2015,1.0,0,V,N,O,R,6650.0,type4,1912,greater than 5,1
2015,1.0,1,N,V,V,U,1500.0,type4,1960,no data,0
2016,0.99726776,0,V,N,O,R,2857.0,type4,1950,greater than 5,1
2013,1.0,0,V,V,V,U,1178.0,type4,1980,no data,0
2013,1.0,0,N,V,V,U,5785.0,type4,1980,no data,1
2014,1.0,0,V,V,V,U,260.0,type4,1980,no data,0
2012,1.0,0,V,V,V,U,60.0,type4,1988,no data,0
2014,1.0,0,V,N,O,R,400.0,type4,1983,less than 5,0
2013,1.0,1,N,V,V,U,279.0,type4,1980,no data,0
2013,0.594520548,1,N,V,V,U,1196.0,type4,1980,no data,0
2012,1.0,1,N,V,V,U,670.0,type4,1980,no data,1
2014,1.0,0,V,N,O,R,1984.0,type4,1954,greater than 5,1
2014,1.0,1,N,V,V,U,450.0,type4,1960,no data,0
2012,1.0,0,N,V,V,U,234.0,type4,1960,no data,0
2012,1.0,1,V,N,O,R,4400.0,type4,1965,greater than 5,1
2013,1.0,1,V,N,O,R,4400.0,type4,1965,greater than 5,1
2014,1.0,1,V,N,O,R,412.0,type4,1960,less than 5,0
2015,1.0,1,V,N,O,R,412.0,type4,1960,less than 5,0
2014,1.0,0,N,V,V,U,600.0,type4,1980,no data,0
2012,1.0,0,V,N,O,R,1980.0,type4,1960,less than 5,1
2014,1.0,0,N,V,V,U,870.0,type4,1960,no data,0
2012,1.0,0,V,N,O,R,2100.0,type4,1968,greater than 5,1
2013,1.0,0,V,N,O,R,12721.0,type4,1960,greater than 5,1
2015,1.0,0,V,N,O,R,12721.0,type4,1960,greater than 5,1
2016,0.99726776,0,V,N,O,R,12721.0,type4,1960,greater than 5,0
2012,1.0,1,N,V,V,U,1260.0,type4,1980,no data,0
2012,1.0,1,V,N,O,R,520.0,type4,1960,less than 5,1
2012,0.74863388,0,N,V,V,U,1930.0,type4,1960,no data,0
2016,0.99726776,0,N,V,V,U,3070.0,type4,1980,no data,1
2012,1.0,0,N,V,V,U,4600.0,type4,1960,no data,1
2013,0.0,0,N,V,V,U,4600.0,type4,1960,no data,0
2016,0.99726776,1,N,V,V,U,1000.0,type4,1980,no data,1
2013,0.175342466,0,N,V,V,U,3500.0,type4,1988,no data,0
2012,1.0,1,V,N,O,R,2205.0,type4,1990,greater than 5,1
2014,0.161643836,1,V,N,O,R,1000.0,type4,1900,less than 5,0
2013,1.0,1,V,N,O,R,2110.0,type4,2004,greater than 5,0
2014,1.0,1,V,N,O,R,2110.0,type4,2004,greater than 5,0
2015,1.0,1,V,N,O,R,2110.0,type4,2004,greater than 5,1
2013,1.0,1,V,N,O,R,1630.0,type4,1970,greater than 5,0
2013,1.0,1,V,N,O,R,1628.0,type4,1954,greater than 5,1
2014,0.117808219,1,V,N,O,R,1350.0,type4,1960,greater than 5,0
2014,1.0,0,V,N,O,R,332.0,type4,1900,less than 5,0
2016,1.0,0,V,N,O,R,332.0,type4,1900,less than 5,1
2016,1.0,1,V,N,O,R,1825.0,type4,1936,greater than 5,0
2012,1.0,1,V,N,O,R,6600.0,type4,1965,less than 5,1
2012,1.0,0,V,N,O,R,8265.0,type4,1958,greater than 5,1
2012,1.0,1,V,N,O,R,10600.0,type4,1966,greater than 5,1
2014,1.0,0,V,N,O,R,3510.0,type4,1973,less than 5,1
2013,0.0,1,V,N,O,R,8000.0,type4,1970,greater than 5,1
2014,1.0,1,V,N,O,R,3780.0,type4,1953,greater than 5,1
2015,1.0,1,V,N,O,R,3780.0,type4,1953,greater than 5,1
2016,1.0,1,V,N,O,R,3780.0,type4,1953,greater than 5,1
2013,0.120547945,0,V,N,O,R,2471.0,type4,2009,greater than 5,0
2012,1.0,1,V,N,O,R,1908.0,type4,1920,greater than 5,0
2016,0.99726776,1,V,N,O,R,490.0,type4,1900,less than 5,1
2013,1.0,1,V,N,O,R,15000.0,type4,1965,greater than 5,1
2015,0.915068493,1,V,N,O,R,15000.0,type4,1965,greater than 5,1
2012,1.0,1,V,N,O,R,12470.0,type4,1974,greater than 5,1
2013,1.0,0,V,N,O,R,395.0,type4,1920,less than 5,0
2016,0.99726776,0,V,N,O,R,395.0,type4,1920,less than 5,0
2013,0.495890411,1,V,N,O,R,12961.0,type4,2006,greater than 5,0
